publication_date;update_date;location;title;vehicles_involved;casualties;injured;reason;sequence_of_actions;district
20240211;20240211;Chattogram;Reckless driving triggers multi-vehicle collision in Ctg’s Bangabandhu Tunnel;car, cars, microbuses;[];[];Reckless driving and excessive speed led to the multi-vehicle crash inside the Bangabandhu Tunnel.;1. A private car lost control due to excessive speed. 2. The car collided with nearby cars, impacting a total of three private cars and two microbuses. 3. Several people were injured and at least five vehicles were damaged in the multi-vehicle crash. 4. Authorities seized all vehicles involved as part of their ongoing investigation into the incident. ;Chattogram District
20240215;20240215;Sylhet;Six cops injured in road accident during vehicle check in Sylhet;car, truck;[];[];The accident occurred due to a bus from Sunamganj hitting the policemen during a routine vehicle inspection at a check-post on the Sylhet-Sunamganj road.;1. Bus from Sunamganj hits policemen during routine vehicle inspection at check-post 2. Six policemen sustain injuries, with one admitted to ICU 3. Bus supervisor detained, vehicle impounded, but driver escapes 4. Authorities investigating accident and searching for fleeing driver ;Unknown District
20231228;20231228;Dhaka;Police arrest driver of SUV that hit and killed 3 including child in Dhaka's Khilkhet;suv;['one'];[];The accident happened due to reckless driving by the driver of the SUV.;1. The driver of the SUV ploughed into a passenger shed in Dhaka's Khilkhet. 2. The accident resulted in the death of three people and injury of one. 3. The driver, Dishan, was arrested in a case filed by a victim's husband. 4. The bodies of the deceased were handed over to the relatives without autopsy. ;Dhaka District
20240209;NA;Chattogram;"Out of control truck smashes into two other vehicles on Dhk-Ctg Highway; helper dead, 10 injured";microbus, truck;['one'];['one'];The accident happened due to the truck driver losing control of his vehicle.;1. The goods-laden truck lost control and crashed into another truck and a microbus. 2. The helper of the truck driver was killed on the spot. 3. 10 other people, including microbus passengers, were injured. 4. The injured were taken to Sitakunda Upazila Health Complex. ;Chattogram District
20240330;20240330;Dhaka;Wheels of hazard: Motorcycle safety crisis unfolding on Bangladesh’s roads;buses, motorcycle, motorcycles, trucks;[];[];The accident happened due to the presence of underage, unskilled, and unlicensed drivers on the roads, lack of stringent enforcement by the Bangladesh Road Transport Authority (BRTA) and the police, and proliferation of motorcycles with reckless driving habits.;Sequence of actions: 1. Presence of underage, unskilled, and unlicensed drivers on the roads. 2. Lack of stringent enforcement by the Bangladesh Road Transport Authority (BRTA) and the police. 3. Proliferation of motorcycles, including many that are unlicensed, and reckless driving habits.  Reason:;Dhaka District
20240122;20240122;Kishoreganj;Two die as motorcycle loses control in Kishoreganj;motorcycle;['Two'];['one'];Loss of control of the motorcycle leading to collision with a road pillar.;1. Three people were traveling on a motorcycle from Itna to Mithamoin. 2. The motorcycle lost control and collided with a side pillar on the south side of Dhaki Bridge. 3. Yasin and Amir Hossain died on the spot, while Mizanur Rahman was seriously injured. 4. Mizanur Rahman was referred to Kishoreganj Hospital in critical condition. ;Kishoreganj District
20240104;NA;Dhaka;Teen killed as an unidentified vehicle runs over him in Jatrabari;;[];[];Nayem was killed in the accident because he was hit by an unidentified vehicle under the flyover in Jatrabari.;1. Nayem, a 13-year-old street boy, was hit by an unidentified vehicle under the flyover in Jatrabari. 2. The impact of the vehicle hitting Nayem caused his death on the spot. 3. Police recovered Nayem's body and sent it to Dhaka Medical College morgue for an autopsy. 4. The officer mentioned that they are trying to find more details about Nayem. ;Dhaka District
20240219;20240219;Gazipur;3 dead as truck hits autorickshaw in Gazipur’s Kaliakair;autorickshaw, truck;['Three'];['two'];The accident happened due to a speeding truck hitting the battery-run autorickshaw on the highway.;1. A speeding truck crashed into a battery-run autorickshaw on Dhaka-Tangail highway in Gazipur’s Kaliakair upazila. 2. Five people including the autorickshaw driver were injured in the accident. 3. Three of the victims were declared dead upon arrival at Kaliakair upazila health complex. 4. The rest of the injured victims were undergoing treatment at the hospital. ;Gazipur District
20240115;NA;Bogura;Motorcyclist dies in Bogura road crash;motorcycle, truck;['one'];[];The accident occurred because Amzad Hossain lost control of his motorcycle.;1. Amzad Hossain lost control of his motorcycle and fell on the road. 2. A truck ran him over on the Namuja-Baro Mile road in Kaura Bazar of Kalai union. 3. The motorcyclist died as a result of the accident. 4. The incident was confirmed by Kahalu Police Station Officer-in-Charge Selim Reza. ;Bogura District
20231201;NA;Noakhali;CNG-truck collision leaves mother, daughter dead in Noakhali;autorickshaw, truck;['one'];['three'];The accident happened due to a head-on collision between a CNG autorickshaw and a truck.;1. A head-on collision occurred between a CNG autorickshaw and a truck. 2. The collision resulted in the death of a mother and her daughter. 3. Two people, including the CNG driver, sustained injuries. 4. The injured were taken to Subarnachar Upazila Health Complex for treatment. ;Noakhali District
